Dataset	AUC	AUPRC	Saliency_bestK	Saliency_best2K	InputXGradient_bestK	InputXGradient_best2K	IG_noMul_bestK	IG_noMul_best2K	SmoothGrad_bestK	SmoothGrad_best2K	GuidedBackprop_bestK	GuidedBackprop_best2K	DeepLift_bestK	DeepLift_best2K	Deconvolution_bestK	Deconvolution_best2K	FeatureAblation_bestK	FeatureAblation_best2K	FeaturePermutation_bestK	FeaturePermutation_best2K	ShapleyValueSampling_bestK	ShapleyValueSampling_best2K	
ring-xor-sum_1000samples-6feat.csv	0.821	0.859	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
ring-xor-sum_1000samples-8feat.csv	0.793	0.835	1.000	1.000	0.972	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
ring-xor-sum_1000samples-16feat.csv	0.745	0.789	0.806	0.917	0.806	0.917	0.778	0.917	0.806	0.917	0.806	0.917	0.806	0.917	0.806	0.917	0.778	0.889	0.722	0.861	0.806	0.944	
ring-xor-sum_1000samples-32feat.csv	0.697	0.731	0.694	0.750	0.722	0.806	0.722	0.778	0.694	0.750	0.694	0.750	0.722	0.778	0.694	0.750	0.667	0.750	0.694	0.778	0.694	0.806	
ring-xor-sum_1000samples-64feat.csv	0.653	0.675	0.694	0.722	0.694	0.722	0.694	0.750	0.694	0.722	0.694	0.722	0.694	0.750	0.694	0.722	0.694	0.722	0.694	0.694	0.694	0.722	
ring-xor-sum_1000samples-128feat.csv	0.601	0.633	0.583	0.639	0.583	0.639	0.556	0.611	0.583	0.639	0.583	0.639	0.556	0.639	0.583	0.639	0.583	0.639	0.583	0.611	0.500	0.583	
ring-xor-sum_1000samples-256feat.csv	0.565	0.587	0.361	0.417	0.361	0.417	0.389	0.417	0.361	0.417	0.361	0.417	0.361	0.417	0.361	0.417	0.361	0.417	0.361	0.417	0.361	0.417	
ring-xor-sum_1000samples-512feat.csv	0.547	0.584	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	
