Dataset	FSNet_bestK	FSNet_best2K	FSNet_AUC	FSNet_AUPRC
ring+xor_1000samples-4feat.csv	1.0	1.0	0.9113925930862333	0.9257298940403911
ring+xor_1000samples-8feat.csv	0.625	1.0	0.8237244997037027	0.8660853884077796
ring+xor_1000samples-16feat.csv	0.7083333333333334	0.8333333333333334	0.8146016736093907	0.8632851067226013
ring+xor_1000samples-32feat.csv	0.375	0.4583333333333333	0.5940312179316777	0.6411599350112565
ring+xor_1000samples-64feat.csv	0.20833333333333334	0.2916666666666667	0.622473423112821	0.6515181433411611
ring+xor_1000samples-128feat.csv	0.041666666666666664	0.125	0.4910340958368198	0.5220793779551786
ring+xor_1000samples-256feat.csv	0.041666666666666664	0.041666666666666664	0.5010239413635263	0.5413489337304649
ring+xor_1000samples-512feat.csv	0.0	0.0	0.4929508126113798	0.5325439195493229
