Dataset	LassoNet_bestK	LassoNet_best2K	LassoNet_AUC	LassoNet_AUPRC
ring+xor_1000samples-4feat.csv	1.0	1.0	0.7789064423671629	0.7377808468511322
ring+xor_1000samples-8feat.csv	0.625	1.0	0.7498595356326706	0.7128458910372198
ring+xor_1000samples-16feat.csv	0.5	0.5416666666666666	0.7437202225284444	0.7052749431966238
ring+xor_1000samples-32feat.csv	0.5416666666666666	0.5416666666666666	0.7268611250367805	0.6865882273411792
ring+xor_1000samples-64feat.csv	0.5	0.5416666666666666	0.7139608205203806	0.6718859707192775
ring+xor_1000samples-128feat.csv	0.5416666666666666	0.5416666666666666	0.7296720887126448	0.69458739871046
ring+xor_1000samples-256feat.csv	0.5	0.5	0.7258702586798501	0.6839932513482556
ring+xor_1000samples-512feat.csv	0.375	0.375	0.6546905736051208	0.6233513471750003
