Dataset	DeepPINK_U_bestK	DeepPINK_U_best2K	DeepPINK_U_AUC	DeepPINK_U_AUPRC
ring+xor_1000samples-4feat.csv	1.0	1.0	0.7793148223216465	0.8283569563240188
ring+xor_1000samples-8feat.csv	0.8333333333333334	1.0	0.8041914699882579	0.8550477026660216
ring+xor_1000samples-16feat.csv	0.5833333333333334	0.75	0.6553599218643831	0.6969744791415975
ring+xor_1000samples-32feat.csv	0.2916666666666667	0.4583333333333333	0.7069556400704444	0.7480938834481491
ring+xor_1000samples-64feat.csv	0.08333333333333333	0.20833333333333334	0.6021846520198245	0.635577793096482
ring+xor_1000samples-128feat.csv	0.08333333333333333	0.125	0.519799418029444	0.5564672102372619
ring+xor_1000samples-256feat.csv	0.041666666666666664	0.041666666666666664	0.5247522068075683	0.5474229607049276
ring+xor_1000samples-512feat.csv	0.041666666666666664	0.041666666666666664	0.5177009841738371	0.5549123257906494
