Dataset	RF_bestK	RF_best2K	RF_AUC	RF_AUPRC
ring+xor_1000samples-4feat.csv	1.0	1.0	0.9428710850060438	0.9473504984118667
ring+xor_1000samples-8feat.csv	1.0	1.0	0.8932161917340627	0.9084615437647677
ring+xor_1000samples-16feat.csv	1.0	1.0	0.8584471597017362	0.8797776817256006
ring+xor_1000samples-32feat.csv	1.0	1.0	0.8065635964615588	0.8318022754007858
ring+xor_1000samples-64feat.csv	1.0	1.0	0.7741849778250479	0.7806754573695804
ring+xor_1000samples-128feat.csv	0.9583333333333334	1.0	0.7227938973347733	0.735345117957099
ring+xor_1000samples-256feat.csv	0.8333333333333334	1.0	0.6639804771824481	0.6706258443131238
ring+xor_1000samples-512feat.csv	0.7916666666666666	0.9166666666666666	0.6316851923187401	0.6438999765364591
