Dataset	AUC	AUPRC	Saliency_bestK	Saliency_best2K	InputXGradient_bestK	InputXGradient_best2K	IG_noMul_bestK	IG_noMul_best2K	SmoothGrad_bestK	SmoothGrad_best2K	GuidedBackprop_bestK	GuidedBackprop_best2K	DeepLift_bestK	DeepLift_best2K	Deconvolution_bestK	Deconvolution_best2K	FeatureAblation_bestK	FeatureAblation_best2K	FeaturePermutation_bestK	FeaturePermutation_best2K	ShapleyValueSampling_bestK	ShapleyValueSampling_best2K	
ring_1000samples-2feat.csv	0.989	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
ring_1000samples-4feat.csv	0.983	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
ring_1000samples-8feat.csv	0.958	0.949	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
ring_1000samples-16feat.csv	0.553	0.509	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.917	1.000	0.917	0.917	0.917	1.000	
ring_1000samples-32feat.csv	0.536	0.524	0.583	0.917	0.583	0.917	0.500	0.750	0.583	0.917	0.583	0.917	0.500	0.750	0.583	0.917	0.500	0.500	0.417	0.583	0.583	0.833	
ring_1000samples-64feat.csv	0.520	0.505	0.250	0.333	0.333	0.333	0.167	0.333	0.250	0.333	0.250	0.333	0.250	0.333	0.250	0.333	0.333	0.333	0.250	0.333	0.167	0.250	
ring_1000samples-128feat.csv	0.541	0.504	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
ring_1000samples-256feat.csv	0.533	0.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
ring_1000samples-512feat.csv	0.522	0.508	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
