Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
xor_2_250	1.0	1.0	0.9964706339953046	0.9969300732198657	0.9913017477162215	0.9924501021602409
xor_4_250	1.0	1.0	0.9748468841887589	0.9696416143928671	0.9773618499829407	0.974632028641199
xor_8_250	0.9166666666666666	1.0	0.8479982246845957	0.8614259498908057	0.8052526154139817	0.8229342481072991
xor_16_250	0.9166666666666666	1.0	0.8438208161231321	0.8279030218879654	0.6630495507958563	0.6932183668660429
xor_32_250	1.0	1.0	0.9044044469515203	0.8939670770602528	0.6557984174530068	0.638985440566497
xor_64_250	0.6666666666666666	0.75	0.9153191924741515	0.9003335366238058	0.5560362044639875	0.5837304950586666
xor_128_250	0.08333333333333333	0.16666666666666666	0.9358203011463705	0.9204869030456413	0.4264765863645976	0.49444018667737316
xor_256_250	0.0	0.0	0.9402672507336677	0.9344071798999648	0.4841368136603508	0.5294328068374657
xor_512_250	0.0	0.08333333333333333	0.9635236449451322	0.958914829114644	0.47025226008310317	0.5355151121793232
xor_1024_250	0.0	0.0	0.9781945603530251	0.980285770112228	0.47683681758113966	0.5026545129468079
xor_2048_250	0.0	0.0	0.9807000043012098	0.9851713519789259	0.5203771972793713	0.6174542083697175
