Dataset	mRMR_bestK	mRMR_best2K	LassoNet_bestK	LassoNet_best2K
ring+xor_1000samples-4feat.csv	1.0	1.0	1.0	1.0
ring+xor_1000samples-8feat.csv	0.7083333333333334	0.7083333333333334	0.7916666666666666	1.0
ring+xor_1000samples-16feat.csv	0.4583333333333333	0.4583333333333333	0.2916666666666667	0.5833333333333334
ring+xor_1000samples-32feat.csv	0.2916666666666667	0.2916666666666667	0.25	0.375
ring+xor_1000samples-64feat.csv	0.2916666666666667	0.2916666666666667	0.16666666666666666	0.20833333333333334
ring+xor_1000samples-128feat.csv	0.16666666666666666	0.16666666666666666	0.041666666666666664	0.08333333333333333
ring+xor_1000samples-256feat.csv	0.08333333333333333	0.08333333333333333	0.041666666666666664	0.041666666666666664
ring+xor_1000samples-512feat.csv	0.041666666666666664	0.041666666666666664	0.0	0.0
