Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
ring+xor_4_500	1.0	1.0	0.5332312625118799	0.5869437128624239	0.5331967463584442	0.5980710259063707
ring+xor_8_500	0.625	1.0	0.5197382499370942	0.5048276619936942	0.4583944921506536	0.48775616268033034
ring+xor_16_500	0.25	0.4583333333333333	0.5575559384116581	0.5785703720022991	0.5145179780393735	0.570149729528649
ring+xor_32_500	0.16666666666666666	0.20833333333333334	0.5140278886390638	0.5582677538600694	0.49749571766931	0.5628656676263623
ring+xor_64_500	0.0	0.041666666666666664	0.5480802183840393	0.5459458922970549	0.466798575205869	0.5036520259384779
ring+xor_128_500	0.125	0.125	0.5135318921230428	0.5226912505744198	0.5295287186944929	0.5456605971943548
ring+xor_256_500	0.0	0.0	0.5195952633301117	0.541272684286595	0.4994101250737666	0.5358695595309241
ring+xor_512_500	0.041666666666666664	0.041666666666666664	0.5055170555170555	0.5156256477828197	0.494797919167667	0.5098596805029346
ring+xor_1024_500	0.0	0.0	0.5138662201188444	0.5533888087448925	0.5103498542274053	0.5527367994998286
ring+xor_2048_500	0.0	0.0	0.4987179487179487	0.5259993927934574	0.5	0.5259848919487474
