Dataset	DeepPINK_2o_bestK	DeepPINK_2o_best2K	DeepPINK_2o_AUC	DeepPINK_2o_AUPRC
ring+xor_1000samples-4feat.csv	1.0	1.0	0.7200775155065712	0.7610908144480847
ring+xor_1000samples-8feat.csv	0.625	1.0	0.8208177960587362	0.8712877104083717
ring+xor_1000samples-16feat.csv	0.3333333333333333	0.5416666666666666	0.7498683649778649	0.7932635246523555
ring+xor_1000samples-32feat.csv	0.25	0.3333333333333333	0.7255181521311459	0.788273717547361
ring+xor_1000samples-64feat.csv	0.125	0.20833333333333334	0.616147319087513	0.6440304604496891
ring+xor_1000samples-128feat.csv	0.08333333333333333	0.125	0.5828466726491018	0.615559920790879
ring+xor_1000samples-256feat.csv	0.0	0.041666666666666664	0.5654017755713033	0.584090108097052
ring+xor_1000samples-512feat.csv	0.0	0.0	0.5066340515155291	0.5344543599554231
