Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring+xor+sum_6_500	0.7689104651727123	0.7888680550308145	0.7355528764029305	0.7583723289598581
ring+xor+sum_8_500	0.8278237417842761	0.8605178169425954	0.7704059140066167	0.8147374981735798
ring+xor+sum_16_500	0.7918319478105182	0.8169064194827304	0.6957296434867307	0.7425098528388877
ring+xor+sum_32_500	0.8370888887546658	0.8407416234957492	0.6126615230266871	0.6253425051518685
ring+xor+sum_64_500	0.9272279199702926	0.9250237664322221	0.5897739090475865	0.5946350408567872
ring+xor+sum_128_500	0.9518983377787394	0.940098746432604	0.595734499201668	0.6242944769632786
ring+xor+sum_256_500	0.9338866910833311	0.9079939497215902	0.5086152461312431	0.48036732830289885
ring+xor+sum_512_500	0.969641175389404	0.9614850052577163	0.5896770666266175	0.5983386524977456
ring+xor+sum_1024_500	0.9733307511812476	0.9643705741804752	0.5474232253999131	0.5344517536816049
ring+xor+sum_2048_500	0.9801711294313661	0.9789529353947414	0.49305704010347684	0.5006465906591284
