Dataset	FeaturePermutation_bestK	FeaturePermutation_best2K
ring_2_1000	1.0	1.0
ring_4_1000	0.3333333333333333	1.0
ring_8_1000	0.5	0.9166666666666666
ring_16_1000	0.5	0.75
ring_32_1000	0.5	0.5
ring_64_1000	0.0	0.0
ring_128_1000	0.0	0.0
ring_256_1000	0.0	0.0
ring_512_1000	0.0	0.0
ring_1024_1000	0.0	0.0
ring_2048_1000	0.0	0.0
