Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring+xor_4_500	0.7811342974212838	0.8486142997786281	0.7539245220972463	0.8266633640945621
ring+xor_8_500	0.8052144163840936	0.8258094349286301	0.7350194989432147	0.7490235341347374
ring+xor_16_500	0.7546312457547478	0.7783787685656495	0.636236074910887	0.6720969460043897
ring+xor_32_500	0.859340439652629	0.8671424054711334	0.6663544102204533	0.7044765275107238
ring+xor_64_500	0.893506710131437	0.8829381330217111	0.536289081739684	0.5723025934919616
ring+xor_128_500	0.9207766702598161	0.9020657113382652	0.4878713370572425	0.5204359113468074
ring+xor_256_500	0.9374203954606258	0.9278056875527069	0.5410448971986086	0.586712140256219
ring+xor_512_500	0.9512287154853186	0.9428631359997667	0.4618876560200607	0.5135101867972066
ring+xor_1024_500	0.973031846514289	0.971812099356114	0.48642226709774494	0.5511174551323977
ring+xor_2048_500	0.9766904219848268	0.9805673083445209	0.49050246457651103	0.5561465317114788
