Dataset	CAE_bestK	CAE_best2K	CAE_AUC	CAE_AUPRC
ring+xor_1000samples-4feat.csv	1.0	1.0	0.9086415796740944	0.9198789393289264
ring+xor_1000samples-8feat.csv	0.875	1.0	0.8704470032482102	0.8913797292062045
ring+xor_1000samples-16feat.csv	0.375	0.7083333333333334	0.7864044098725934	0.837508572551625
ring+xor_1000samples-32feat.csv	0.0	0.375	0.7624413434175228	0.8151583739777069
ring+xor_1000samples-64feat.csv	0.125	0.25	0.6220308911526784	0.6434974645466585
ring+xor_1000samples-128feat.csv	0.08333333333333333	0.08333333333333333	0.6219290594856438	0.65198623825334
ring+xor_1000samples-256feat.csv	0.041666666666666664	0.041666666666666664	0.6167746462964109	0.6790453813221579
ring+xor_1000samples-512feat.csv	0.0	0.0	0.4965734358669686	0.537348632009843
