Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring+xor_4_500	1.0	1.0	0.8134620819720183	0.8741143785889327	0.7829181624167765	0.8526934291033154
ring+xor_8_500	0.7083333333333334	1.0	0.7103304425384839	0.7057372836761976	0.629125998599138	0.6295431059690549
ring+xor_16_500	0.5833333333333334	0.7083333333333334	0.778204073395364	0.8048419161627568	0.6929952476908102	0.7422434176529796
ring+xor_32_500	0.2916666666666667	0.5	0.6690168727667084	0.6868931179397038	0.5639324671702409	0.5952086179304364
ring+xor_64_500	0.2916666666666667	0.4166666666666667	0.8411648025669668	0.8401620843079224	0.5441482267789365	0.5628839771768065
ring+xor_128_500	0.041666666666666664	0.125	0.9306283574971831	0.9182394514712932	0.4888057764788903	0.5092685732958068
ring+xor_256_500	0.125	0.125	0.9458199290439543	0.9366388072379651	0.5218573392026368	0.5697598125512221
ring+xor_512_500	0.0	0.0	0.9570036731265509	0.9516187071108763	0.45181831807637396	0.49713821360678573
ring+xor_1024_500	0.0	0.0	0.9693102533185365	0.9686077497113676	0.466963404226078	0.5359543629281742
ring+xor_2048_500	0.0	0.0	0.9768354539711416	0.9795296819594849	0.487351086171845	0.5515776540662135
