Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring+xor+sum_6_250	1.0	1.0	0.7650323161816576	0.7918500591961415	0.6838843125992065	0.7361137574181561
ring+xor+sum_8_250	0.8333333333333335	1.0	0.7595492316757673	0.7901625097279344	0.69313972474319	0.7248345023751991
ring+xor+sum_16_250	0.75	0.9722222222222222	0.8351910347300237	0.8423623168230344	0.7207012156300979	0.7434114562730881
ring+xor+sum_32_250	0.4166666666666667	0.638888888888889	0.8699532456367356	0.8755850070266983	0.6156906412969365	0.639384879413502
ring+xor+sum_64_250	0.3611111111111111	0.47222222222222215	0.9442926301199813	0.9314226973167979	0.5447900631024201	0.5737000501877735
ring+xor+sum_128_250	0.25	0.3333333333333333	0.9201297316258814	0.9190408306748928	0.5130062111292522	0.5495987738735827
ring+xor+sum_256_250	0.1111111111111111	0.16666666666666666	0.9435642626090847	0.9235110771081056	0.5533855096770175	0.5788966515174474
ring+xor+sum_512_250	0.13888888888888887	0.16666666666666666	0.9679415767749892	0.9633096671905879	0.5206133721164344	0.5007104194040662
ring+xor+sum_1024_250	0.13888888888888887	0.19444444444444442	0.9763727263915195	0.9739420661459723	0.45961126308462036	0.5433209945654714
ring+xor+sum_2048_250	0.1111111111111111	0.16666666666666666	0.9801549485112196	0.9815398341645896	0.5163215770684196	0.5185864654461458
