Dataset	LassoNet_bestK	LassoNet_best2K	LassoNet_AUC	LassoNet_AUPRC
ring_1000samples-2feat.csv	1.0	1.0	0.9067368522479118	0.8529430023076842
ring_1000samples-4feat.csv	1.0	1.0	0.893529790497127	0.839569795962482
ring_1000samples-8feat.csv	1.0	1.0	0.8878936117529354	0.8265528577386578
ring_1000samples-16feat.csv	0.5833333333333334	0.9166666666666666	0.7894829219202705	0.698070724887793
ring_1000samples-32feat.csv	0.25	0.25	0.5407920030773495	0.49777453962123425
ring_1000samples-64feat.csv	0.0	0.0	0.5051758704549415	0.4728186413441005
ring_1000samples-128feat.csv	0.0	0.0	0.5210016913840391	0.48283367883557804
ring_1000samples-256feat.csv	0.0	0.0	0.4973181814873595	0.4701474990786358
ring_1000samples-512feat.csv	0.0	0.0	0.4895394004535005	0.46717578460610226
