Dataset	AUC	AUPRC	Saliency_bestK	Saliency_best2K	InputXGradient_bestK	InputXGradient_best2K	IG_noMul_bestK	IG_noMul_best2K	SmoothGrad_bestK	SmoothGrad_best2K	GuidedBackprop_bestK	GuidedBackprop_best2K	DeepLift_bestK	DeepLift_best2K	Deconvolution_bestK	Deconvolution_best2K	FeatureAblation_bestK	FeatureAblation_best2K	FeaturePermutation_bestK	FeaturePermutation_best2K	ShapleyValueSampling_bestK	ShapleyValueSampling_best2K	
ring-xor-sum_1000samples-6feat.csv	0.703	0.745	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
ring-xor-sum_1000samples-8feat.csv	0.690	0.740	0.778	1.000	0.778	1.000	0.806	1.000	0.778	1.000	0.778	1.000	0.778	1.000	0.778	1.000	0.778	1.000	0.778	1.000	0.806	1.000	
ring-xor-sum_1000samples-16feat.csv	0.655	0.709	0.583	0.861	0.583	0.889	0.556	0.917	0.583	0.889	0.583	0.861	0.583	0.861	0.583	0.861	0.556	0.889	0.556	0.889	0.556	0.917	
ring-xor-sum_1000samples-32feat.csv	0.629	0.672	0.472	0.639	0.444	0.639	0.472	0.611	0.472	0.639	0.472	0.639	0.472	0.639	0.472	0.639	0.444	0.639	0.444	0.639	0.444	0.639	
ring-xor-sum_1000samples-64feat.csv	0.621	0.658	0.472	0.472	0.444	0.472	0.444	0.472	0.472	0.472	0.472	0.472	0.472	0.472	0.472	0.472	0.444	0.472	0.444	0.472	0.472	0.472	
ring-xor-sum_1000samples-128feat.csv	0.618	0.652	0.444	0.500	0.444	0.500	0.444	0.500	0.444	0.500	0.444	0.500	0.444	0.500	0.444	0.500	0.444	0.500	0.417	0.472	0.444	0.500	
ring-xor-sum_1000samples-256feat.csv	0.570	0.596	0.389	0.444	0.389	0.444	0.389	0.444	0.389	0.444	0.389	0.444	0.389	0.444	0.389	0.444	0.389	0.444	0.389	0.417	0.389	0.444	
ring-xor-sum_1000samples-512feat.csv	0.548	0.585	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.333	0.361	0.361	0.361	
