Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring_2_1000	1.0	1.0	0.5651799034309549	0.5303535286205396	0.5333146417305022	0.506734219976067
ring_4_1000	0.4166666666666667	1.0	0.5221739675950545	0.5042961692355902	0.5003590367482089	0.48261429583749443
ring_8_1000	0.3333333333333333	0.6666666666666666	0.546265022078564	0.5180691526148634	0.5106279464630911	0.4982237117942138
ring_16_1000	0.0	0.0	0.5332937844636217	0.5354139967999683	0.4910504738558514	0.5066713328981218
ring_32_1000	0.16666666666666666	0.25	0.6908530829281999	0.688444608211297	0.5014485765974545	0.5433267653915713
ring_64_1000	0.16666666666666666	0.25	0.8361058644940286	0.8237744116974324	0.5099411495211487	0.5468648346724945
ring_128_1000	0.25	0.25	0.8810633031674593	0.8837681539192186	0.5107139066266866	0.5578585271082392
ring_256_1000	0.0	0.0	0.8445787544151829	0.8235811667243603	0.4878943343645505	0.4947594948517282
ring_512_1000	0.0	0.0	0.9425268218250308	0.9293981963851348	0.5209367634359952	0.5419163172991642
ring_1024_1000	0.0	0.0	0.9438583050608957	0.9392047901322919	0.5062696958487635	0.5476577123619554
ring_2048_1000	0.0	0.0	0.9643275834208906	0.9625631162612733	0.47252977313978145	0.48271696188906893
