Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
xor_2_250	1.0	1.0	0.5348986597379307	0.5536810184316977	0.5234188549429777	0.5691070604290701
xor_4_250	0.5	1.0	0.5547949921383583	0.48996686996813077	0.45910030160433984	0.4462989744017234
xor_8_250	0.5	0.6666666666666666	0.5216305898330276	0.5752770976535584	0.42513042868193546	0.5417451818150956
xor_16_250	0.0	0.08333333333333333	0.576492666872572	0.5420524118919913	0.49211317251136627	0.5005003771124423
xor_32_250	0.0	0.08333333333333333	0.5531667295557744	0.49691996713808856	0.509204233434306	0.5127412103130774
xor_64_250	0.0	0.0	0.6047981269085586	0.5984030583902485	0.5419633269020805	0.5654496945905968
xor_128_250	0.0	0.0	0.6096299364400054	0.6283830574729038	0.5157499040850723	0.5823879523803407
xor_256_250	0.0	0.0	0.5664227553377337	0.5539900876039453	0.4084338418352802	0.5063182232797487
xor_512_250	0.0	0.0	0.5731977953250217	0.6165424812108062	0.44751188229306077	0.5398532906711909
xor_1024_250	0.0	0.0	0.49756883269373725	0.531770548748081	0.5173390317225288	0.5189144698272276
xor_2048_250	0.0	0.0	0.5825703017491263	0.6256054403192407	0.48829038480306597	0.5659804546879953
