Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring+xor+sum_6_1000	1.0	1.0	0.7876978417412416	0.8068201182101583	0.7726261034225912	0.7917969032334752
ring+xor+sum_8_1000	0.8888888888888888	1.0	0.830444747347702	0.8530351445138987	0.8142405145162259	0.8356654481253395
ring+xor+sum_16_1000	0.6666666666666666	0.8333333333333334	0.8291823068639596	0.8374661406783995	0.805204434948739	0.8139872301429012
ring+xor+sum_32_1000	0.6944444444444445	0.7777777777777778	0.8763375427821742	0.8887295067454556	0.7353359373096081	0.7597781681673297
ring+xor+sum_64_1000	0.6666666666666666	0.6944444444444443	0.9430959841156009	0.9420866146843991	0.6820325011792764	0.7094896195508916
ring+xor+sum_128_1000	0.5833333333333333	0.5833333333333333	0.9104256297826588	0.9117948658508733	0.6304574979132066	0.6586660773987412
ring+xor+sum_256_1000	0.38888888888888884	0.4444444444444444	0.9513005419431461	0.942288016193057	0.6000022835922184	0.5924937132241036
ring+xor+sum_512_1000	0.3333333333333333	0.3333333333333333	0.9529493633291874	0.9446023836870051	0.5713766285830221	0.6006994614403348
ring+xor+sum_1024_1000	0.3611111111111111	0.4166666666666667	0.9458167725331719	0.9313798000464674	0.5158661342321843	0.514767226732152
ring+xor+sum_2048_1000	0.27777777777777773	0.27777777777777773	0.9646654166054396	0.9572573449181637	0.5180008401861296	0.5098855080028174
