Dataset	AUC	AUPRC	Saliency_bestK	Saliency_best2K	InputXGradient_bestK	InputXGradient_best2K	IG_noMul_bestK	IG_noMul_best2K	SmoothGrad_bestK	SmoothGrad_best2K	GuidedBackprop_bestK	GuidedBackprop_best2K	DeepLift_bestK	DeepLift_best2K	Deconvolution_bestK	Deconvolution_best2K	FeatureAblation_bestK	FeatureAblation_best2K	FeaturePermutation_bestK	FeaturePermutation_best2K	ShapleyValueSampling_bestK	ShapleyValueSampling_best2K	
ring_1000samples-2feat.csv	0.875	0.845	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
ring_1000samples-4feat.csv	0.800	0.762	0.794	1.000	0.295	1.000	0.608	1.000	1.000	1.000	0.513	1.000	0.608	1.000	0.513	1.000	0.336	1.000	0.487	1.000	0.409	1.000	
ring_1000samples-8feat.csv	0.604	0.527	0.613	0.789	0.049	0.172	0.517	0.669	0.961	0.997	0.425	0.556	0.519	0.669	0.425	0.556	0.093	0.236	0.322	0.496	0.075	0.186	
ring_1000samples-16feat.csv	0.545	0.512	0.375	0.539	0.022	0.065	0.263	0.365	0.676	0.863	0.277	0.377	0.263	0.366	0.277	0.377	0.048	0.124	0.190	0.310	0.010	0.037	
ring_1000samples-32feat.csv	0.534	0.512	0.203	0.310	0.026	0.051	0.152	0.216	0.351	0.529	0.157	0.223	0.152	0.216	0.157	0.223	0.040	0.082	0.082	0.160	0.012	0.029	
ring_1000samples-64feat.csv	0.534	0.525	0.078	0.128	0.024	0.042	0.076	0.119	0.076	0.146	0.081	0.119	0.077	0.117	0.081	0.119	0.034	0.059	0.038	0.072	0.011	0.029	
ring_1000samples-128feat.csv	0.538	0.516	0.008	0.020	0.010	0.015	0.016	0.032	0.001	0.003	0.014	0.031	0.017	0.032	0.014	0.031	0.010	0.019	0.011	0.025	0.005	0.011	
ring_1000samples-256feat.csv	0.529	0.510	0.000	0.002	0.002	0.005	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.001	0.004	0.000	0.003	0.000	0.002	
ring_1000samples-512feat.csv	0.529	0.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
