Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
ring+xor+sum_6_250	1.0	1.0	0.5757847670940239	0.5918537455746737	0.497496560682098	0.5914434291022146
ring+xor+sum_8_250	0.7222222222222222	1.0	0.5964809573309408	0.6063791444307639	0.5240049744789855	0.5603439438481955
ring+xor+sum_16_250	0.3888888888888889	0.8333333333333331	0.5648178081105492	0.5695168820537874	0.5297296692544109	0.5597324650324319
ring+xor+sum_32_250	0.38888888888888884	0.5833333333333333	0.6020696056893461	0.6014946551661855	0.5194412654100478	0.5666121639778909
ring+xor+sum_64_250	0.05555555555555555	0.13888888888888887	0.6040540919354237	0.5761198143395841	0.4601203973372166	0.5046774150238573
ring+xor+sum_128_250	0.027777777777777776	0.027777777777777776	0.6291697490640881	0.6242973037824794	0.5400702775389331	0.5695572594341073
ring+xor+sum_256_250	0.05555555555555555	0.1111111111111111	0.5927839154766961	0.5677739295177857	0.5627984475751536	0.6073418146147035
ring+xor+sum_512_250	0.027777777777777776	0.05555555555555555	0.634035496513137	0.5795807393775889	0.521808958398506	0.49824577525730485
ring+xor+sum_1024_250	0.027777777777777776	0.027777777777777776	0.5638505296157537	0.5959883064742049	0.4294218846727836	0.5073961698198136
ring+xor+sum_2048_250	0.0	0.0	0.5965678270224665	0.5989060769763893	0.49028089734328373	0.5301717045769604
