Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring_2_1000	0.6959990111138493	0.5891083053425897	0.682897167682457	0.5913734319070981
ring_4_1000	0.6048871543360376	0.574747916981349	0.5620305131460713	0.5407408687635146
ring_8_1000	0.6012122154576299	0.5650710803366301	0.5266783865029455	0.5122083674598906
ring_16_1000	0.6628534844348888	0.6460005900812656	0.5094136102518521	0.5189479608380888
ring_32_1000	0.8549298187590089	0.8425110819981213	0.4905950411986862	0.5218812511460483
ring_64_1000	0.8758668289623789	0.8591146162544413	0.5247990629844049	0.559399102367296
ring_128_1000	0.9297138188595165	0.9237235883286398	0.5023400606545589	0.5709271758648827
ring_256_1000	0.8623628113314217	0.8418724119477502	0.5094605513681976	0.5091326718372085
ring_512_1000	0.9310686657426408	0.913408610023651	0.5022910254281393	0.5350755483017593
ring_1024_1000	0.9443055677114272	0.9367649385062214	0.5028581873297487	0.5442223342032259
ring_2048_1000	0.9674882320777133	0.9666309048832636	0.4824447655928052	0.4905040106492047
