Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
xor_2_500	0.9984870923412728	0.9985596778849137	0.997682830381001	0.998235114613992
xor_4_500	0.997825714886711	0.9979031909092138	0.9968894530097653	0.9966029086676228
xor_8_500	0.9900172170308464	0.9916936649770598	0.9764392860905949	0.9805342935304311
xor_16_500	0.9938911862398792	0.9944397909585834	0.9725589995811209	0.973407434516271
xor_32_500	0.9320042125157425	0.9244643730499519	0.8237125804766191	0.830189903338357
xor_64_500	0.9152367706915331	0.9037341431159819	0.5774150694587253	0.5711005871086619
xor_128_500	0.9406477662489428	0.9201703825869746	0.5432008145335512	0.5862890824866449
xor_256_500	0.9419743670367501	0.9242485067164489	0.507200052046401	0.4799150308083397
xor_512_500	0.9509101716268153	0.942383604563056	0.4650481507647166	0.5305105191182485
xor_1024_500	0.962733612835858	0.955314069543726	0.5201695375761055	0.5209941772893815
xor_2048_500	0.9786025891270564	0.980458945985362	0.46962766302011155	0.5201499848976748
