Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
ring+xor+sum_6_500	1.0	1.0	0.580156483238623	0.5781381689781951	0.5989405960125098	0.5819087951154327
ring+xor+sum_8_500	0.7777777777777777	1.0	0.6553376064689856	0.6960507028042052	0.6305677714834693	0.6794079680546505
ring+xor+sum_16_500	0.5555555555555555	0.8888888888888888	0.5955766672582107	0.6101763854716228	0.5876533956300448	0.6226094023324639
ring+xor+sum_32_500	0.2777777777777778	0.5277777777777778	0.5337852665495412	0.5492384140900942	0.4633532295356892	0.5334029738259733
ring+xor+sum_64_500	0.19444444444444445	0.2222222222222222	0.5696273382678051	0.5551601210144436	0.5186862673036794	0.5317814061594335
ring+xor+sum_128_500	0.0	0.05555555555555555	0.5536870918972231	0.5433462203808844	0.5216290968876269	0.5341835817902766
ring+xor+sum_256_500	0.027777777777777776	0.027777777777777776	0.5387630498109048	0.487525724494295	0.5492215892654199	0.504212508365471
ring+xor+sum_512_500	0.05555555555555555	0.05555555555555555	0.5098135739568711	0.4896388262451589	0.5140031335683509	0.4999707670213369
ring+xor+sum_1024_500	0.027777777777777776	0.05555555555555555	0.508327186390669	0.47503666831591485	0.48929571828731494	0.46364977007554503
ring+xor+sum_2048_500	0.0	0.05555555555555555	0.4961001356737835	0.46464270451923895	0.5015540015540015	0.46858888039704066
