Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring+xor_1000samples-4feat.csv	1.0	1.0	0.7944898304031879	0.863302569293602
ring+xor_1000samples-8feat.csv	0.75	1.0	0.8024509579552296	0.8640996533245752
ring+xor_1000samples-16feat.csv	0.5833333333333334	0.7083333333333334	0.796205017860497	0.8624168568666847
ring+xor_1000samples-32feat.csv	0.75	0.7916666666666666	0.785875110475836	0.8432966920272866
ring+xor_1000samples-64feat.csv	0.5833333333333334	0.625	0.7159484146872795	0.7547965856996314
ring+xor_1000samples-128feat.csv	0.5	0.5416666666666666	0.6463910695947332	0.6837515466746571
ring+xor_1000samples-256feat.csv	0.08333333333333333	0.125	0.5213518866578636	0.5462729792396963
ring+xor_1000samples-512feat.csv	0.0	0.0	0.5280756003212199	0.5525609742565885
