Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
xor_2_250	0.9968630718806963	0.9971497491562892	0.9904765211234511	0.9918415329713347
xor_4_250	0.9977686412740482	0.997280330007151	0.9937751386599089	0.9929716413701571
xor_8_250	0.9815618503403415	0.98587307876964	0.9439019026413985	0.9550504963784451
xor_16_250	0.8295089471818148	0.8218886580671897	0.6924797339360147	0.6767185441510216
xor_32_250	0.9280634511512208	0.9168438783423442	0.601625982377794	0.6237657359245284
xor_64_250	0.892716596518277	0.8704416522258204	0.48863876799130535	0.5241764849051654
xor_128_250	0.9220140013218622	0.9064844586830821	0.42136801078262387	0.49201382259384013
xor_256_250	0.9452097747262341	0.9371273910973432	0.4609800467351955	0.5297236510621238
xor_512_250	0.9701839028143336	0.9710185995650854	0.47803847819549233	0.5530791800602989
xor_1024_250	0.963332171679958	0.9613866000124399	0.4858939300090706	0.5178268884847196
xor_2048_250	0.9823292351266525	0.9864076876352298	0.5162100848695051	0.6136313154103917
