Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
ring_2_500	1.0	1.0	0.5204871109749768	0.5322252007096658	0.4724196281037414	0.5247204017944666
ring_4_500	0.5	1.0	0.5396612119011288	0.5490688146250193	0.5127738691450349	0.5367592922820706
ring_8_500	0.16666666666666666	0.25	0.5359113950471909	0.54333864802703	0.46650270977309455	0.5027492303093869
ring_16_500	0.16666666666666666	0.25	0.5544456852943166	0.5539349032218457	0.4969802593993111	0.5012502214399103
ring_32_500	0.0	0.0	0.5380007737301061	0.53970531465456	0.4987449119525236	0.521804972335045
ring_64_500	0.08333333333333333	0.08333333333333333	0.5268945965084697	0.5625694201757866	0.520157967248085	0.5731360377270016
ring_128_500	0.0	0.08333333333333333	0.5170749463787829	0.5385129698203616	0.48097813317925914	0.5218299697057105
ring_256_500	0.0	0.0	0.5	0.46999996156920615	0.5	0.4699990437942245
ring_512_500	0.0	0.0	0.5	0.47000284387874314	0.5	0.4700707592273858
ring_1024_500	0.0	0.0	0.5219295417330106	0.558227907782511	0.4889855420930449	0.5404271999780973
ring_2048_500	0.0	0.0	0.5	0.4960041582118921	0.5	0.49610346146490736
