Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
ring+xor_4_1000	1.0	1.0	0.509399914415853	0.543100271049126	0.5155832929321386	0.5556347082182698
ring+xor_8_1000	0.4166666666666667	1.0	0.4994495350829132	0.5074204297346359	0.4637083488756244	0.48745798795850687
ring+xor_16_1000	0.25	0.5833333333333334	0.5058178262037135	0.5259787499574706	0.514194721228403	0.5352099466830748
ring+xor_32_1000	0.16666666666666666	0.4166666666666667	0.5051651259987319	0.5005126806028165	0.4967828902862905	0.49664592780429134
ring+xor_64_1000	0.08333333333333333	0.125	0.5	0.5310006496603438	0.5	0.5310162806916288
ring+xor_128_1000	0.041666666666666664	0.08333333333333333	0.5097912821104446	0.5380891232711783	0.5022529069767442	0.5283288978980517
ring+xor_256_1000	0.041666666666666664	0.041666666666666664	0.5057589131187262	0.5174966638182833	0.5131717345572767	0.527809672274724
ring+xor_512_1000	0.041666666666666664	0.041666666666666664	0.5035808304990296	0.5148937189637534	0.5014573010784028	0.5205346992916312
ring+xor_1024_1000	0.0	0.0	0.5	0.5349991315471033	0.5	0.5349782362984874
ring+xor_2048_1000	0.0	0.0	0.5	0.5080022416640517	0.5	0.5080561768030204
