Dataset	ShapleyValueSampling_bestK	ShapleyValueSampling_best2K
ring+xor_4_1000	1.0	1.0
ring+xor_8_1000	0.7916666666666666	1.0
ring+xor_16_1000	0.625	0.75
ring+xor_32_1000	0.4583333333333333	0.625
ring+xor_64_1000	0.5416666666666666	0.5416666666666666
ring+xor_128_1000	0.0	0.0
ring+xor_256_1000	0.0	0.041666666666666664
ring+xor_512_1000	0.0	0.041666666666666664
ring+xor_1024_1000	0.0	0.0
ring+xor_2048_1000	0.0	0.0
