Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
xor_2_500	1.0	1.0	0.9972134893228096	0.9974177238067989	0.9971947477359654	0.9972669405191964
xor_4_500	1.0	1.0	0.9294088036040368	0.9305300784564765	0.9265188166072736	0.9215199112353432
xor_8_500	0.9166666666666666	1.0	0.9054131374695124	0.9181507195388656	0.9088805005613415	0.9274122858245021
xor_16_500	0.9166666666666666	0.9166666666666666	0.9300291544434277	0.9304306623456687	0.9076603085891232	0.9118175186986788
xor_32_500	1.0	1.0	0.9342434078764131	0.932634420640443	0.8560975502228677	0.8409399281991948
xor_64_500	0.5	0.5	0.8187427184512958	0.8105203589264635	0.6337925727235535	0.6262247786150857
xor_128_500	0.5833333333333334	0.8333333333333334	0.9510425454850387	0.938013665858425	0.5542259796391842	0.5854429285612547
xor_256_500	0.0	0.0	0.9324084972233012	0.9263022838602262	0.5085977880972476	0.4806504979715008
xor_512_500	0.0	0.0	0.9056538157566814	0.9061148700921494	0.4683973973258115	0.5344981719153487
xor_1024_500	0.0	0.0	0.9650033225177674	0.9604058475433424	0.5148904266188408	0.5255458468092662
xor_2048_500	0.0	0.0	0.9779638747922115	0.9802058844127822	0.46813978139779056	0.5209220722474656
