Dataset	CancelOut_Softmax_bestK	CancelOut_Softmax_best2K	CancelOut_Softmax_AUC	CancelOut_Softmax_AUPRC
ring+xor_1000samples-4feat.csv	1.0	1.0	0.7966700900257097	0.8634679871100128
ring+xor_1000samples-8feat.csv	0.75	1.0	0.7999043950436717	0.8645342185016117
ring+xor_1000samples-16feat.csv	0.6666666666666666	0.75	0.805488457206768	0.8671102665901679
ring+xor_1000samples-32feat.csv	0.125	0.2916666666666667	0.49314797377241454	0.5403563550527252
ring+xor_1000samples-64feat.csv	0.08333333333333333	0.16666666666666666	0.4990014949869619	0.5528649987241451
ring+xor_1000samples-128feat.csv	0.041666666666666664	0.041666666666666664	0.5148480173213767	0.5452254879721988
ring+xor_1000samples-256feat.csv	0.08333333333333333	0.08333333333333333	0.5158717415362645	0.5467434197326209
ring+xor_1000samples-512feat.csv	0.0	0.0	0.536078020984185	0.5626967350869435
