Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring+xor+sum_6_250	0.7889924027768701	0.818579014855335	0.7247586667575058	0.7813925809883356
ring+xor+sum_8_250	0.7890252004959342	0.8053796439705087	0.733915101764072	0.775143336203889
ring+xor+sum_16_250	0.8707152203827008	0.8755387296022613	0.7017514219384798	0.7110095414322367
ring+xor+sum_32_250	0.9250369393197362	0.927163054315897	0.6230509579000291	0.6530562865198615
ring+xor+sum_64_250	0.9295301287614496	0.9079643353201444	0.542624211219749	0.5727641362539696
ring+xor+sum_128_250	0.9243594768688815	0.9118143810070377	0.5087319074591444	0.5537178096988608
ring+xor+sum_256_250	0.9539564702667183	0.9433391968611212	0.5660050233210093	0.583626388631856
ring+xor+sum_512_250	0.9735703535220708	0.9722716508813743	0.46857551108274614	0.46888206994878473
ring+xor+sum_1024_250	0.9794013238193219	0.9773175946470802	0.44230879405364537	0.5478111864069695
ring+xor+sum_2048_250	0.9796756894293251	0.9811166573226217	0.48324941264827753	0.49913932458116533
