Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring+xor_4_1000	0.8295418987315052	0.8855982091916168	0.8219783064333948	0.8807850390115038
ring+xor_8_1000	0.8278769061216216	0.8725528575864163	0.7962488759454921	0.8483044825598668
ring+xor_16_1000	0.8812451330916792	0.903335491354158	0.8029094477634072	0.8453811361576032
ring+xor_32_1000	0.9489891850438371	0.9528366881202515	0.7421879653740712	0.7856728305130544
ring+xor_64_1000	0.9400273095336469	0.9330211505074075	0.5795547649269733	0.6105916727908763
ring+xor_128_1000	0.8780285990327791	0.8760630145346123	0.5201573170398301	0.5458303268420587
ring+xor_256_1000	0.9018866594711762	0.8865324518301367	0.5048664102166213	0.5231489424063039
ring+xor_512_1000	0.9289472283662579	0.9236525764141374	0.5224674574360142	0.5494837127734137
ring+xor_1024_1000	0.9325403045992317	0.9288123497814783	0.5252765021370897	0.5626080352247019
ring+xor_2048_1000	0.9597742309821379	0.9557982704545497	0.4733485155574491	0.5037340374610954
