Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring_2_250	0.681232742445747	0.6375082869810463	0.6135759634043387	0.5914586017498532
ring_4_250	0.6306505032955553	0.5985060374823962	0.4721116902562364	0.49417672321403083
ring_8_250	0.7198946682889744	0.7075496629480033	0.5537852411442636	0.606526987690898
ring_16_250	0.7294544754257742	0.7269333543297672	0.5040793954450379	0.5209757185877371
ring_32_250	0.8877354083432997	0.8927205574043628	0.44842263834241064	0.5070176690980172
ring_64_250	0.9281924235386393	0.9169758636909205	0.5374884483365604	0.5561549805014229
ring_128_250	0.922373374458167	0.9064325018891202	0.5283371216641893	0.5846226154558024
ring_256_250	0.9340702067793597	0.9383375059429953	0.42611208725848776	0.48934974893602434
ring_512_250	0.9753559748001989	0.9754253240099279	0.48046383711588386	0.5208675681673105
ring_1024_250	0.9777954849094569	0.980080222646693	0.4406813173689604	0.5094600489523536
ring_2048_250	0.9768870396003156	0.9763437376957572	0.466156066803826	0.4916846562599693
