Dataset	Saliency_AUC	Saliency_AUPRC
ring+xor_1000samples-4feat.csv	0.8868363428355542	0.9085596099470029
ring+xor_1000samples-8feat.csv	0.8227423834807025	0.8625416946220983
ring+xor_1000samples-16feat.csv	0.807284131279478	0.8573217604254019
ring+xor_1000samples-32feat.csv	0.7848298873177582	0.8413880412485432
ring+xor_1000samples-64feat.csv	0.7966864016191434	0.8505267848109629
ring+xor_1000samples-128feat.csv	0.7542646016065119	0.8117647816181884
ring+xor_1000samples-256feat.csv	0.5012960771673592	0.5219817551974358
ring+xor_1000samples-512feat.csv	0.5496389937782212	0.5644428649704252
