Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
xor_2_1000	1.0	1.0	0.4941504570737978	0.5066111368127552	0.5268726734551343	0.5242280497671336
xor_4_1000	0.5833333333333334	1.0	0.5105353786319528	0.5221869236653313	0.5045744825403761	0.5201295876457097
xor_8_1000	0.25	0.3333333333333333	0.5162705636702579	0.5179858814744271	0.4876630746176082	0.506257235373912
xor_16_1000	0.0	0.08333333333333333	0.5025439972623071	0.49370858530020945	0.5054311417360513	0.4967810867099665
xor_32_1000	0.08333333333333333	0.08333333333333333	0.5022393323032693	0.4893746733568262	0.4914613526570048	0.4855714623843908
xor_64_1000	0.0	0.16666666666666666	0.5103129793296789	0.4986712583007189	0.5027836303661268	0.49374470671128523
xor_128_1000	0.0	0.0	0.4997366844465059	0.5326601232014835	0.4967489003633582	0.530562148028642
xor_256_1000	0.0	0.0	0.5	0.490998797600575	0.5	0.4909698674939278
xor_512_1000	0.0	0.0	0.5035882805205164	0.5112333347550646	0.4963342044134727	0.5014145463547139
xor_1024_1000	0.0	0.0	0.49993375576036864	0.4837314546012131	0.5116144018583043	0.500639572996085
xor_2048_1000	0.0	0.0	0.5	0.500998480927143	0.5	0.5009619315585696
